Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
jwasham,coding-interview-university,A complete computer science study plan to become a software engineer.,Unknown Language,315614,78548,"jwasham, Anri-Lombard, avizmarlon, esaucedof, Ilyushin",335
cloudcommunity,Free-Certifications,A curated list of free courses with certifications. Also available at https://free-certifications.com/,Unknown Language,29885,2193,"karentamrazyan, CloudStudyNet, diogomurta, sykezz, oldphones68",66
jujumilk3,leaked-system-prompts,Collection of leaked system prompts,Unknown Language,2519,347,"jujumilk3, accupham, OneTop4458, JakubKontra, jmcph4",61
khangich,machine-learning-interview,"Machine Learning Interviews from FAANG, Snapchat, LinkedIn. I have offers from Snapchat, Coupang, Stitchfix etc. Blog: mlengineer.io.",Unknown Language,10702,1734,"khangich, liuvivian11, aragorn87, cuongvng, vineettanna",38
weeeBox,mobile-system-design,A simple framework for mobile system design interviews,Unknown Language,4666,494,"weeeBox, AndreiVidrasco, husaynhakeem",5
payloadbox,xss-payload-list,🎯 Cross Site Scripting ( XSS ) Vulnerability Payload List,Unknown Language,6977,1782,"sebix, cryptonautical, madneal, Xib3rR4dAr",19
PatrickJS,awesome-cursorrules,📄 A curated list of awesome .cursorrules files,Unknown Language,23022,1759,"PatrickJS, ikhare, tks-00, endolith, martinklepsch",165
TechHutTV,homelab,"Homelab stacks, templates, and more fun resources!",Unknown Language,629,77,"TechHutTV, bobbyb2024, absent42, therumbler, alexneo2003",10
microsoft,sql-server-samples,"Azure Data SQL Samples - Official Microsoft GitHub Repository containing code samples for SQL Server, Azure SQL, Azure Synapse, and Azure SQL Edge",Unknown Language,10399,8993,"uc-msft, jodebrui, JocaPC, anosov1960, dependabot",3
Pr-Mex,vanessa-automation,BDD в 1С,1C Enterprise,525,205,"Pr-Mex, lintest, fenixnow, CryptKat, KrapivinAndrey",0
cpr1c,tools_ui_1c,Универсальные инструменты 1С для управляемых форм,1C Enterprise,826,245,"LevkinSergey, free-archer, Oleg1085, JohnyDeath, VolAll",2
abapGit,abapGit,Git client for ABAP,ABAP,1611,550,"larshp, mbtools, christianguenter2, sbcgua, eduardocopat",0
abap2xlsx,abap2xlsx,Generate your professional Excel spreadsheet from ABAP,ABAP,760,294,"ivanfemia, sandraros, gregorwolf, larshp, AndreaBorgia-Abo",0
easylist,easylist,"EasyList filter subscription (EasyList, EasyPrivacy, EasyList Cookie, Fanboy's Social/Annoyances/Notifications Blocking List)",Adblock Filter List,2436,753,"ryanbr, Khrin, monzta, nitrox, smed79",0
AdguardTeam,FiltersRegistry,Known filters subscriptions transformed for better compatibility with AdGuard,Adblock Filter List,271,55,"github-actions, slavaleleka, Alex-302, zloyden, Mizzick",0
microsoft,ALAppExtensions,Repository for collaboration on Microsoft AL application add-on and localization extensions for Microsoft Dynamics 365 Business Central.,AL,857,645,"JesperSchulz, mazhelez, aholstrup1, darjoo, IhorHandziuk",1
antlr,grammars-v4,Grammars written for ANTLR v4; expectation that the grammars are free of actions.,ANTLR,10551,3751,"teverett, KvanTTT, kaby76, parrt, dependabot",3
scm-ninja,starter-web,Simple starting point website project based upon Initializr,ApacheConf,416,20275,"jasongtaylor, awesomejt",0
jongpie,NebulaLogger,"The most robust observability solution for Salesforce experts. Built 100% natively on the platform, and designed to work seamlessly with Apex, Lightning Components, Flow, OmniStudio, and integrations.",Apex,760,185,"jongpie, jamessimone, TrangOul, JMercie, alanjaouen",1
netwide-assembler,nasm,A cross-platform x86 assembler with an Intel-like syntax,Assembly,2706,347,"cyrillos, victorvde, jtkukunas, martinlindhe, changsbae",4
apple,swift-nio-ssl,"TLS Support for SwiftNIO, based on BoringSSL.",Assembly,400,149,"Lukasa, glbrntt, weissi, dnadoba, rnro",0
kanaka,mal,mal - Make a Lisp,Assembly,10251,2607,"kanaka, bjh21, asarhaddon, dubek, wasamasa",2
openhwgroup,cva6,The CORE-V CVA6 is an Application class 6-stage RISC-V CPU capable of booting Linux,Assembly,2442,750,"zarubaf, JeanRochCoulon, msfschaffner, MikeOpenHWGroup, AyoubJalali",1
giaf,blasfeo,Basic linear algebra subroutines for embedded optimization,Assembly,356,90,"giaf, tmmsartor, roversch, zanellia, RSchwan",0
apple,swift-crypto,Open-source implementation of a substantial portion of the API of Apple CryptoKit suitable for use on Linux platforms.,Assembly,1523,172,"Lukasa, simonjbeaumont, Sajjon, rnro, compnerd",0
espressif,esp-dl,Espressif deep-learning library for AIoT applications,Assembly,687,139,"sun-xiangyu, BlueSkyB, 100312dog, shenxiaozheng, Ginosko-mia",1
ROCm,hipBLASLt,hipBLASLt is a library that provides general matrix-matrix operations with a flexible API and extends functionalities beyond a traditional BLAS library,Assembly,91,117,"KKyang, jichangjichang, aazz44ss, vin-huang, Serge45",0
aws,aws-lc,AWS-LC is a general-purpose cryptographic library maintained by the AWS Cryptography team for AWS and their customers. It іs based on code from the Google BoringSSL project and the OpenSSL project.,Assembly,489,129,"davidben, agl, jargh, samuel40791765, justsmth",0
BLAKE3-team,BLAKE3,the official Rust and C implementations of the BLAKE3 cryptographic hash function,Assembly,5515,377,"oconnor663, sneves, veorq, BurningEnlightenment, mkrupcale",3
riscvarchive,riscv-v-spec,Working draft of the proposed RISC-V V vector extension,Assembly,1020,280,"kasanovic, aswaterman, colinschmidt, drom, a0u",0
briansmith,ring,An experiment.,Assembly,3922,747,"davidben, briansmith, agl, dvorak42, nharper",2
boostorg,context,,Assembly,323,159,"olk, eldiener, grafikrobot, Kojoley, pdimov",0
supranational,blst,Multilingual BLS12-381 signature library,Assembly,511,194,"dot-asm, simonatsn, sean-sn, kirk-baird, hellosupranational",0
